customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.99,2985.44,Yes
CUST-00001,Female,1,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),30.88,2102.24,No
CUST-00002,Male,0,No,Yes,62,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),87.92,5452.43,No
CUST-00003,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),109.22,7532.39,No
CUST-00004,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,61.31,3919.53,No
CUST-00005,Female,1,Yes,No,66,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,82.85,5469.56,No
CUST-00006,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,55.68,2951.17,No
CUST-00007,Male,0,No,No,35,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.1,3333.35,No
CUST-00008,Male,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,78.11,5471.22,No
CUST-00009,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,79.92,1119.58,No
CUST-00010,Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),35.69,602.92,No
CUST-00011,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.7,52.08,No
CUST-00012,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),81.83,817.92,No
CUST-00013,Male,0,No,No,5,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,29.45,143.74,No
CUST-00014,Female,0,Yes,No,50,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Credit card (automatic),31.62,1582.85,No
CUST-00015,Male,0,No,No,57,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),34.69,1972.8,No
CUST-00016,Female,0,No,Yes,59,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),58.79,3473.55,No
CUST-00017,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.96,734.78,No
CUST-00018,Female,1,No,No,66,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),115.26,7608.2,Yes
CUST-00019,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,87.04,1389.62,No
CUST-00020,Female,1,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),37.81,1245.55,No
CUST-00021,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),100.0,2897.94,No
CUST-00022,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),46.59,835.48,Yes
CUST-00023,Female,1,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,99.58,792.74,No
CUST-00024,Female,0,No,No,39,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,65.84,2569.39,No
CUST-00025,Female,0,No,No,43,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,66.96,2881.76,No
CUST-00026,Female,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,57.01,3304.02,No
CUST-00027,Female,0,No,No,24,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,43.18,1038.9,No
CUST-00028,Female,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,88.08,6162.25,No
CUST-00029,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),69.34,3603.01,No
CUST-00030,Male,0,Yes,No,47,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),18.91,891.61,No
CUST-00031,Male,0,Yes,Yes,70,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.8,3560.78,No
CUST-00032,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),96.16,5003.1,No
CUST-00033,Female,0,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.14,2307.69,No
CUST-00034,Female,0,No,No,42,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,87.89,3689.36,No
CUST-00035,Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,38.7,698.0,No
CUST-00036,Female,1,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),95.18,6191.25,No
CUST-00037,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),61.63,2038.74,No
CUST-00038,Male,1,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,18.81,1355.2,Yes
